governorate_id,governorate_name,population,livestock_heads,irrigated_crop_area_ha,irrigated_cereal_area_ha,exposure_score
TN-01,Ariana,674007,24900,1360,0,0.28932180065097896
TN-02,Béja,311350,78350,3910,2090,0.2756536972041403
TN-03,Ben Arous,725570,8240,3770,400,0.2868435094153889
TN-04,Bizerte,607306,73650,2500,0,0.3704479099478885
TN-05,Gabès,412213,7370,9110,60,0.17058823401164555
TN-06,Gafsa,389601,15400,16790,40,0.2067202328476514
TN-07,Jendouba,403159,93350,4410,19470,0.468078602065574
TN-08,Kairouan,600565,38750,64180,21790,0.6713200767717579
TN-09,Kasserine,494185,15500,41660,3500,0.36703588841876134
TN-10,Kébili,184061,460,38300,0,0.16759908655634767
TN-11,Le Kef,236802,28640,10350,3060,0.16782722487716362
TN-12,Mahdia,450411,37320,3850,0,0.2312168783859505
TN-13,Manouba,419007,17000,3860,0,0.1742891122466387
TN-14,Médenine,539719,1320,4900,320,0.1973835844206742
TN-15,Monastir,601650,17080,1580,0,0.24285452017556347
TN-16,Nabeul,864612,63200,32120,780,0.5714860866533127
TN-17,Sfax,1049763,23500,19630,60,0.5126185564302335
TN-18,Sidi Bouzid,491358,61800,67730,5500,0.576029443199887
TN-19,Siliana,215494,38750,3750,1460,0.14512670713394943
TN-20,Sousse,765624,10480,5330,900,0.31775038088668023
TN-21,Tataouine,163300,600,4670,100,0.035075697933368934
TN-22,Tozeur,120386,740,1320,0,0.004201854400566538
TN-23,Tunis,1071000,5480,350,70,0.4112903555706561
TN-24,Zaghouan,201702,23910,11800,490,0.1305620675457603
